source_id,title,publisher,source_type,url,used_for,checked_on
uom_about,About The University of Manchester — facts and figures,The University of Manchester,Official webpage,https://www.manchester.ac.uk/about/,Institution profile and public positioning,2026-06-02
ucas_uom_stats,University of Manchester — Stats,UCAS; student statistics sourced from HESA,Public profile webpage,https://www.ucas.com/explore/unis/01b03c44/university-of-manchester/stats?studyYear=2026,Student profile percentages,2026-06-02
uom_decliner_survey,"UCAS Applicant Accept/Decliner survey, 2024",The University of Manchester FSE Teaching College,Official public webpage,https://www.teachingcollege.fse.manchester.ac.uk/ucas-applicant-accept-decliner-survey-2024/,Offer-holder conversion signals,2026-06-02
uom_medicine_data,Application data — Medicine MBChB,The University of Manchester,Official public webpage,https://www.bmh.manchester.ac.uk/study/medicine/apply/data/,"Medicine application, interview, and offer counts",2026-06-02
uom_dentistry_stats,Application statistics — Dentistry BDS,The University of Manchester,Official public webpage,https://www.bmh.manchester.ac.uk/study/dentistry/apply/statistics/,"Dentistry application, interview, and offer counts",2026-06-02
uom_access_plan_summary,Summary of 2025-26 to 2028-29 access and participation plan,The University of Manchester,Official PDF summary,https://documents.manchester.ac.uk/display.aspx?DocID=73530,"Access targets, bursary, communications, evaluation",2026-06-02
uom_contextual_admissions,Contextual admissions,The University of Manchester,Official webpage,https://www.manchester.ac.uk/study/undergraduate/applying/contextual-admissions/,"Contextual flags, contextual offers, travel support",2026-06-02
